"type","positie","resumptiepatroon","subj_sub","subj_main","verb_sub","verb_main","vframe_main","vframe_sub","tense_sub","tense_main","function","middenveld_1","ben_sub","word_sub","heb_sub","kan_sub","mag_sub","moet_sub","wil_sub","ga_sub","zal_sub","blijf_sub","kom_sub","laat_sub","word_main","kan_main","zal_main","ben_main","heb_main","ga_main","wil_main","blijf_main","moet_main","mag_main","_main","kom_main","hoef_main","laat_main","zin","remarks"
"v1-lex","P1","I","Nederland","de Duitse draden","heb","heb","transitive_ndev","transitive_ndev","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Heeft Nederland een spanning van 1500 volt gelijkspanning , hebben de Duitse draden 15 kV op 162/3 Hz wisselstroom",
"v1-lex","P1","I","het mannelijke aspect van Ometeotl Ometecutli","zijn/haar vrouwelijk aspect Omecihuatl","ben","ben","transitive","intransitive","tgw","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Is het mannelijke aspect van Ometeotl Ometecutli , is zijn/haar vrouwelijk aspect Omecihuatl",
"v1-lex","P1","I","de Bredevoortse onderduikers","onderduikers van elders","duik_onder","huisvest","refl","ninv(intransitive_part_intransitive(onder))","verl","verl","contrastief","subj",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Waren de Bredevoortse onderduikers elders ondergedoken , werden in Bredevoort zelf onderduikers van elders gehuisvest",
"v1-lex","P1","I","deze","de toerist-vaart","gebruik","bedien","copula","transitive","verl","tgw","contrastief","subj",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Werd deze in de negentiende eeuw en ver in de twintigste nog gebruikt voor de visserij , wordt sinds het einde van de twintigste eeuw vooral de toerist-vaart bediend",
"v1-lex","P1","I","een processie met de relikwie","dit","houd","word","ld_pp","transitive","verl","verl","contrastief","subj",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Werd het eerste jaar van dit bewind nog een processie met de relikwie gehouden , werd dit nadien onmogelijk",
"v1-lex","P1","I","30","de melk in melkpakken","breng_rond","word","transitive","ninv(transitive_part_transitive(rond))","verl","tgw","contrastief","adjunct",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Werd in de jaren '30 van de twintigste eeuw melk nog rondgebracht in karren en bij de woning ingeschonken in een kan , wordt inmiddels de melk in melkpakken verkocht , varirend in inhoud van 0,5 liter tot soms 2 liter",
"v1-lex","P1","I","het geloof","de mogelijkheid de geloofsgezindheid niet te registreren en het vakje  religie  op de identiteitskaart leeg te laten","word","ben","copula","copula","verl","tgw","contrastief","adjunct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Werd in het verleden bij de geboorte het geloof automatisch geregistreerd en verplicht vermeld op de zogenaamde nfskaart ( identiteitskaart ) , is er de mogelijkheid de geloofsgezindheid niet te registreren en het vakje  religie ' op de identiteitskaart leeg te laten",
"v1-lex","P1","NI","het bedrijf in 1855","het","begin","produceer","transitive","intransitive","verl","verl","contrastief","subj",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Was het bedrijf in 1855 begonnen als machinefabriek en ijzergieterij , het produceerde ook stoomketels en stoommachines , huismangels , pompwerktuigen en metaalconstructiewerk",
"v1-lex","P1","NI","het","uitbreidingen","begin","kom","ld_pp","pc_pp(met)","verl","verl","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Begon het in 1907 met alleen Verkenners , in de leeftijd van 11-17 jaar , al snel kwamen er uitbreidingen",
"v1-lex","P1","NI","die","dat","begin","ben","transitive_ndev_ndev","intransitive","verl","tgw","contrastief","subj",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Begonnen die ooit voorbij de driemijlszone uit de kust , thans kan dat pas tot voorbij 200 mijl zijn",
